ID,Type,Commit #,Status,description,reporter,asignee,Due,Created,Resolved,Notes
1,Task ,67dde44 ,closed,Initial Commit,,eadams48,4/19/2026,4/24/2026,,
2,Task ,330c0d5,closed,Initial Files Commit,,eadams48,4/19/2026,4/24/2026,,
3,Task ,9a7e51d ,closed,update README,,eadams48,4/19/2026,4/24/2026,,
4,Task ,28aadc4 ,closed,Issue Tracker Update (ID 1 -3),,eadams48,4/19/2026,4/24/2026,,
5,Task ,839c93d ,closed,Annual Compound Interest Rate Function,,eadams48,4/19/2026,4/24/2026,,
6,Task ,98a7481,closed,Added factorial and area_of_circle functions,Imad Fuad,Imad Fuad,4/21/2026,4/21/2026,4/21/2026,
7,Task ,0484bad,closed,Updated README with correct function ownership and test assignments,Imad Fuad,Imad Fuad,4/21/2026,4/21/2026,4/21/2026,
8,Task ,4e57f7e ,closed,Pow Function Creation,,eadams48,4/22/2026,4/24/2026,,
9,Issue , 91fa721 ,closed,Misnamed File,Imad Fuad,eadams48,4/22/2026,4/24/2026,,
10,Task , 30dc2c9 ,closed,Test File Creation and Update,,eadams48,4/22/2026,4/24/2026,,
6,Task,98a7481,closed,Added factorial and area_of_circle functions,Imad Fuad,Imad Fuad,4/21/2026,4/21/2026,4/21/2026,
7,Task,0484bad,closed,Updated README with correct function ownership and test assignments,Imad Fuad,Imad Fuad,4/21/2026,4/21/2026,4/21/2026,
8,Task,950d7b4,closed,Added test cases for pow and Annual_Compd_Intrst,Imad Fuad,Imad Fuad,4/23/2026,4/23/2026,4/23/2026,
9,Task,5fcc06d,closed,Renamed main.py to my_math.py,Imad Fuad,Imad Fuad,4/23/2026,4/23/2026,4/23/2026,
10,Task,3a0e016,closed,Renamed issuetracker.csv to issue_tracking.csv,Imad Fuad,Imad Fuad,4/23/2026,4/23/2026,4/23/2026,
11,Task,999a578,closed,Updated test_math.py import from main to my_math,Imad Fuad,Imad Fuad,4/23/2026,4/23/2026,4/23/2026,
12,Task,1f5257f,closed,Fixed expected value in Annual_Compd_Intrst test,Imad Fuad,Imad Fuad,4/23/2026,4/23/2026,4/23/2026,
